"11-1",11,"Se han identificado los stakeholders","Se han identificado todos los distintos grupos de stakeholders que son, o serán afectados por el desarrollo y funcionamiento del sistema de software.",true
"11-2",11,"Existe un acuerdo de los grupos de stakeholders que se representarán","Existe un acuerdo de los grupos de stakeholders que se representarán. Como mínimo, se han considerado los grupos de stakeholders que financiarán, usarán, darán soporte y/o mantenimiento al sistema.",true
"11-3",11,"Se han definido las responsabilidades de los que representarán a los stakeholders","Se han definido las responsabilidades de los que representarán a los stakeholders.",true
"12-1",12,"Se ha designado quienes serán los representantes de los stakeholders.","Los representantes de los stakeholders han sido designados y están de acuerdo en llevar a cabo sus responsabilidades.",true
"12-2",12,"Los representantes de los stakeholders están autorizados para llevar a cabo sus responsabilidades.","Los representantes de los stakeholders están autorizados para llevar a cabo sus responsabilidades.",true
"12-3",12,"Se ha acordado la forma en como se colaborará con el stakeholder.","Se ha acordado la forma en como se colaborará con los representantes de los stakeholders",true
"12-4",12,"Los representantes respetan la forma de trabajo del equipo.","Los representantes de los stakeholders apoyan y respetan la forma de trabajo del equipo.",true
"13-1",13,"Los representantes de los stakeholders están llevando a cabo sus responsabilidades.","Los representantes de los stakeholders asisten al equipo conforme a sus responsabilidades.",true
"13-2",13,"Los representantes de los stakeholders proveen feedback y participan en las decisiones de manera oportuna","Los representantes de los stakeholders proveen feedback y toman parte en la toma de decisiones de una manera oportuna.",true
"13-3",13,"Los representantes de los stakeholders se comunican prontamente con su grupo de stakeholders","Los representantes de los stakeholders rápidamente comunican cambios que son relevantes para su grupo.",true
"14-1",14,"Los representantes de los stakeholders están de acuerdo con las expectativas mínimas que el sistema debe tener para poder ser desplegado","Los representantes de los stakeholders están de acuerdo con las expectativas mínimas que el nuevo sistema debe tener para poder ser desplegado.",true
"14-2",14,"","Los representantes de los stakeholders están felices por su participación en el trabajo.",false
"14-3",14,"El aporte de los representantes de los stakeholders es valorado.","Los representantes de los stakeholders están de acuerdo que su aporte es valorado y tratada con respeto por los miembros del equipo",true
"14-4",14,"","Los miembros del equipo están de acuerdo que su aporte es valorado y tratada con respeto por los representantes de los stakeholders",false
"14-5",14,"Existen prioridades claras.","Los representantes de los stakeholders están de acuerdo que a pesar de sus diferentes prioridades, sus perspectivas han sido equilibradas para proveer una clara dirección al equipo sobre que desarrollar",true
"15-1",15,"Los stakeholders proveen feedback","Los representantes de los stakeholders proveen feedback del sistema desde la perspectivas de su grupo de stakeholders respectivo",true
"15-2",15,"El sistema esta listo para el despliegue.","Los representantes de los stakeholders confirman que el sistema esta listo para el despliegue.",true
"16-1",16,"Hay feedback del uso real del sistema","Los stakeholders están usando el nuevo sistema y proveen feedback de sus experiencias",true
"16-2",16,"El sistema cumple con las alternativas","Los stakeholders confirman que el nuevo sistema cumple con sus expectativas.",true
"21-1",21,"Se ha identificado alguna oportunidad que podría tener una solución basada en software","Se ha identificado una idea para mejorar la forma actual de trabajar, aumentar la participación de mercado o usar un sistema de software nuevo o innovador.",true
"21-2",21,"Un stakeholder desea invertir en entender mejor la oportunidad","Al menos una de los stakeholders desea hacer una inversión con el fin de comprender mejor la oportunidad y el valor asociado al abordarlo.",true
"21-3",21,"Se identificaron a otros stakeholder que comparten la oportunidad","Se han identificado los otras stakeholders que comparten la misma oportunidad.",true
"22-1",22,"","Se han identificado los stakeholders de la oportunidad y la solución propuesta.",false
"22-2",22,"Necesidades de los grupos de interés identificados","Se han establecido las necesidades de los stakeholders que generan la oportunidad.",true
"22-3",22,"Problema subyacente y causa raíz identificada","Cualquier problema subyacente y sus causas raíz han sido identificadas.",true
"22-4",22,"Se ha confirmado que se necesita una solución basada en software.","Se ha confirmado que se necesita una solución basada en software.",true
"22-5",22,"Se ha propuesto al menos una solución basada en software.","Se ha propuesto al menos una solución basada en software.",true
"23-1",23,"Se ha establecido el valor de una solución exitosa","El valor de abordar la oportunidad se ha cuantificado en términos absolutos o en retornos o ahorros por período de tiempo (por ejemplo, por año).",true
"23-2",23,"Los stakeholders comprenden el impacto de la solución","Se entiende el impacto de la solución en los grupos de interés.",true
"23-3",23,"El valor del sistema de software es comprendido","Se entiende el valor que el sistema de software ofrece a los stakeholders que financiaron y/o usan el sistema de software",true
"23-4",23,"","Son claros los criterios de éxito, según los cuales se debe juzgar, el despliegue del sistema de software.",false
"23-5",23,"","Los objetivos deseados requieren de una solución clara y cuantificables.",false
"24-1",24,"Una solución ha sido delimitada","Una solución ha sido delimitada",true
"24-2",24,"Las indicaciones son que la solución se puede desarrollar y desplegar dentro de las restricciones.","Las indicaciones son que la solución se puede desarrollar y desplegar dentro de las restricciones.",true
"24-3",24,"Los riesgos son manejables","Los riesgos asociados con la solución son aceptables y manejables",true
"24-4",24,"","Los costos indicativos de la solución son menores que el valor anticipado de la oportunidad",false
"24-5",24,"","Las razones por la que una solución basada en software son comprendidas por todos los miembros del equipo.",false
"24-6",24,"","Está claro que la búsqueda de la oportunidad es viable.",false
"25-1",25,"Está disponible un sistema que demuestra lograr la oportunidad.","Es disponible un sistema utilizable que resuelve demostrablemente la oportunidad.",true
"25-2",25,"Los stakeholders acuerdan que vale la pena la solución disponible","Los stakeholders acuerdan que la solución disponible vale desplegarse",true
"25-3",25,"Los stakeholders están satisfechos de que la solución producida cubra la oportunidad.","Los stakeholders están satisfechos de que la solución producida cubra la oportunidad.",true
"26-1",26,"La solución se ha iniciado para acumular beneficio para los stakeholders","La solución se ha iniciado para acumular beneficio para los stakeholders",true
